Time: 1, Queue size: 0, Server count: 10
Time: 2, Queue size: 0, Server count: 10
Time: 3, Queue size: 0, Server count: 10
Time: 4, Queue size: 1, Server count: 10
Time: 5, Queue size: 0, Server count: 9
Time: 6, Queue size: 1, Server count: 9
Time: 7, Queue size: 0, Server count: 9
Time: 8, Queue size: 0, Server count: 9
Time: 9, Queue size: 0, Server count: 9
Time: 10, Queue size: 0, Server count: 9
Time: 11, Queue size: 0, Server count: 9
Time: 12, Queue size: 0, Server count: 9
Time: 13, Queue size: 0, Server count: 9
Time: 14, Queue size: 0, Server count: 9
Time: 15, Queue size: 0, Server count: 9
Time: 16, Queue size: 0, Server count: 9
Time: 17, Queue size: 0, Server count: 9
Time: 18, Queue size: 0, Server count: 9
Time: 19, Queue size: 1, Server count: 9
Time: 20, Queue size: 0, Server count: 9
Time: 21, Queue size: 0, Server count: 9
Time: 22, Queue size: 0, Server count: 9
Time: 23, Queue size: 0, Server count: 9
Time: 24, Queue size: 0, Server count: 9
Time: 25, Queue size: 0, Server count: 9
Time: 26, Queue size: 0, Server count: 9
Time: 27, Queue size: 0, Server count: 9
Time: 28, Queue size: 0, Server count: 9
Time: 29, Queue size: 0, Server count: 9
Time: 30, Queue size: 0, Server count: 9
Time: 31, Queue size: 0, Server count: 9
Time: 32, Queue size: 0, Server count: 9
Time: 33, Queue size: 0, Server count: 9
Time: 34, Queue size: 1, Server count: 9
Time: 35, Queue size: 0, Server count: 9
Time: 36, Queue size: 0, Server count: 9
Time: 37, Queue size: 0, Server count: 9
Time: 38, Queue size: 0, Server count: 9
Time: 39, Queue size: 0, Server count: 9
Time: 40, Queue size: 1, Server count: 9
Time: 41, Queue size: 0, Server count: 9
Time: 42, Queue size: 1, Server count: 9
Time: 43, Queue size: 1, Server count: 9
Time: 44, Queue size: 0, Server count: 9
Time: 45, Queue size: 0, Server count: 9
Time: 46, Queue size: 0, Server count: 9
Time: 47, Queue size: 0, Server count: 9
Time: 48, Queue size: 0, Server count: 9
Time: 49, Queue size: 1, Server count: 9
Time: 50, Queue size: 0, Server count: 9
Time: 51, Queue size: 0, Server count: 9
Time: 52, Queue size: 1, Server count: 9
Time: 53, Queue size: 0, Server count: 9
Time: 54, Queue size: 0, Server count: 9
Time: 55, Queue size: 0, Server count: 8
Time: 56, Queue size: 0, Server count: 8
Time: 57, Queue size: 0, Server count: 8
Time: 58, Queue size: 0, Server count: 8
Time: 59, Queue size: 0, Server count: 8
Time: 60, Queue size: 0, Server count: 8
Time: 61, Queue size: 0, Server count: 8
Time: 62, Queue size: 0, Server count: 8
Time: 63, Queue size: 0, Server count: 8
Time: 64, Queue size: 0, Server count: 8
Time: 65, Queue size: 0, Server count: 8
Time: 66, Queue size: 0, Server count: 8
Time: 67, Queue size: 1, Server count: 8
Time: 68, Queue size: 0, Server count: 8
Time: 69, Queue size: 0, Server count: 8
Time: 70, Queue size: 0, Server count: 8
Time: 71, Queue size: 0, Server count: 8
Time: 72, Queue size: 0, Server count: 8
Time: 73, Queue size: 0, Server count: 8
Time: 74, Queue size: 1, Server count: 8
Time: 75, Queue size: 0, Server count: 8
Time: 76, Queue size: 1, Server count: 8
Time: 77, Queue size: 1, Server count: 8
Time: 78, Queue size: 0, Server count: 8
Time: 79, Queue size: 0, Server count: 8
Time: 80, Queue size: 0, Server count: 8
Time: 81, Queue size: 1, Server count: 8
Time: 82, Queue size: 0, Server count: 8
Time: 83, Queue size: 1, Server count: 8
Time: 84, Queue size: 0, Server count: 8
Time: 85, Queue size: 1, Server count: 8
Time: 86, Queue size: 0, Server count: 8
Time: 87, Queue size: 0, Server count: 8
Time: 88, Queue size: 0, Server count: 8
Time: 89, Queue size: 0, Server count: 8
Time: 90, Queue size: 1, Server count: 8
Time: 91, Queue size: 0, Server count: 8
Time: 92, Queue size: 0, Server count: 8
Time: 93, Queue size: 1, Server count: 8
Time: 94, Queue size: 0, Server count: 8
Time: 95, Queue size: 1, Server count: 8
Time: 96, Queue size: 0, Server count: 8
Time: 97, Queue size: 0, Server count: 8
Time: 98, Queue size: 0, Server count: 8
Time: 99, Queue size: 0, Server count: 8
Time: 100, Queue size: 0, Server count: 8
Time: 101, Queue size: 0, Server count: 8
Time: 102, Queue size: 0, Server count: 8
Time: 103, Queue size: 0, Server count: 8
Time: 104, Queue size: 0, Server count: 8
Time: 105, Queue size: 0, Server count: 7
Time: 106, Queue size: 0, Server count: 7
Time: 107, Queue size: 0, Server count: 7
Time: 108, Queue size: 0, Server count: 7
Time: 109, Queue size: 1, Server count: 7
Time: 110, Queue size: 0, Server count: 7
Time: 111, Queue size: 0, Server count: 7
Time: 112, Queue size: 0, Server count: 7
Time: 113, Queue size: 0, Server count: 7
Time: 114, Queue size: 0, Server count: 7
Time: 115, Queue size: 1, Server count: 7
Time: 116, Queue size: 0, Server count: 7
Time: 117, Queue size: 1, Server count: 7
Time: 118, Queue size: 0, Server count: 7
Time: 119, Queue size: 0, Server count: 7
Time: 120, Queue size: 0, Server count: 7
Time: 121, Queue size: 1, Server count: 7
Time: 122, Queue size: 0, Server count: 7
Time: 123, Queue size: 0, Server count: 7
Time: 124, Queue size: 0, Server count: 7
Time: 125, Queue size: 0, Server count: 7
Time: 126, Queue size: 0, Server count: 7
Time: 127, Queue size: 0, Server count: 7
Time: 128, Queue size: 0, Server count: 7
Time: 129, Queue size: 0, Server count: 7
Time: 130, Queue size: 0, Server count: 7
Time: 131, Queue size: 0, Server count: 7
Time: 132, Queue size: 0, Server count: 7
Time: 133, Queue size: 0, Server count: 7
Time: 134, Queue size: 1, Server count: 7
Time: 135, Queue size: 0, Server count: 7
Time: 136, Queue size: 0, Server count: 7
Time: 137, Queue size: 0, Server count: 7
Time: 138, Queue size: 0, Server count: 7
Time: 139, Queue size: 0, Server count: 7
Time: 140, Queue size: 0, Server count: 7
Time: 141, Queue size: 0, Server count: 7
Time: 142, Queue size: 0, Server count: 7
Time: 143, Queue size: 0, Server count: 7
Time: 144, Queue size: 0, Server count: 7
Time: 145, Queue size: 1, Server count: 7
Time: 146, Queue size: 0, Server count: 7
Time: 147, Queue size: 1, Server count: 7
Time: 148, Queue size: 1, Server count: 7
Time: 149, Queue size: 0, Server count: 7
Time: 150, Queue size: 0, Server count: 7
Time: 151, Queue size: 0, Server count: 7
Time: 152, Queue size: 1, Server count: 7
Time: 153, Queue size: 0, Server count: 7
Time: 154, Queue size: 0, Server count: 7
Time: 155, Queue size: 0, Server count: 6
Time: 156, Queue size: 1, Server count: 6
Time: 157, Queue size: 0, Server count: 6
Time: 158, Queue size: 1, Server count: 6
Time: 159, Queue size: 0, Server count: 6
Time: 160, Queue size: 1, Server count: 6
Time: 161, Queue size: 0, Server count: 6
Time: 162, Queue size: 0, Server count: 6
Time: 163, Queue size: 0, Server count: 6
Time: 164, Queue size: 0, Server count: 6
Time: 165, Queue size: 0, Server count: 6
Time: 166, Queue size: 0, Server count: 6
Time: 167, Queue size: 0, Server count: 6
Time: 168, Queue size: 1, Server count: 6
Time: 169, Queue size: 0, Server count: 6
Time: 170, Queue size: 0, Server count: 6
Time: 171, Queue size: 0, Server count: 6
Time: 172, Queue size: 0, Server count: 6
Time: 173, Queue size: 0, Server count: 6
Time: 174, Queue size: 1, Server count: 6
Time: 175, Queue size: 0, Server count: 6
Time: 176, Queue size: 0, Server count: 6
Time: 177, Queue size: 0, Server count: 6
Time: 178, Queue size: 0, Server count: 6
Time: 179, Queue size: 0, Server count: 6
Time: 180, Queue size: 0, Server count: 6
Time: 181, Queue size: 0, Server count: 6
Time: 182, Queue size: 1, Server count: 6
Time: 183, Queue size: 0, Server count: 6
Time: 184, Queue size: 1, Server count: 6
Time: 185, Queue size: 0, Server count: 6
Time: 186, Queue size: 0, Server count: 6
Time: 187, Queue size: 0, Server count: 6
Time: 188, Queue size: 0, Server count: 6
Time: 189, Queue size: 0, Server count: 6
Time: 190, Queue size: 0, Server count: 6
Time: 191, Queue size: 0, Server count: 6
Time: 192, Queue size: 0, Server count: 6
Time: 193, Queue size: 1, Server count: 6
Time: 194, Queue size: 0, Server count: 6
Time: 195, Queue size: 1, Server count: 6
Time: 196, Queue size: 1, Server count: 6
Time: 197, Queue size: 0, Server count: 6
Time: 198, Queue size: 0, Server count: 6
Time: 199, Queue size: 0, Server count: 6
Time: 200, Queue size: 0, Server count: 6
Time: 201, Queue size: 1, Server count: 6
Time: 202, Queue size: 1, Server count: 6
Time: 203, Queue size: 0, Server count: 6
Time: 204, Queue size: 0, Server count: 6
Time: 205, Queue size: 0, Server count: 5
Time: 206, Queue size: 0, Server count: 5
Time: 207, Queue size: 0, Server count: 5
Time: 208, Queue size: 0, Server count: 5
Time: 209, Queue size: 0, Server count: 5
Time: 210, Queue size: 0, Server count: 5
Time: 211, Queue size: 0, Server count: 5
Time: 212, Queue size: 0, Server count: 5
Time: 213, Queue size: 0, Server count: 5
Time: 214, Queue size: 0, Server count: 5
Time: 215, Queue size: 0, Server count: 5
Time: 216, Queue size: 0, Server count: 5
Time: 217, Queue size: 1, Server count: 5
Time: 218, Queue size: 0, Server count: 5
Time: 219, Queue size: 0, Server count: 5
Time: 220, Queue size: 0, Server count: 5
Time: 221, Queue size: 0, Server count: 5
Time: 222, Queue size: 0, Server count: 5
Time: 223, Queue size: 1, Server count: 5
Time: 224, Queue size: 0, Server count: 5
Time: 225, Queue size: 0, Server count: 5
Time: 226, Queue size: 1, Server count: 5
Time: 227, Queue size: 0, Server count: 5
Time: 228, Queue size: 0, Server count: 5
Time: 229, Queue size: 0, Server count: 5
Time: 230, Queue size: 0, Server count: 5
Time: 231, Queue size: 0, Server count: 5
Time: 232, Queue size: 0, Server count: 5
Time: 233, Queue size: 0, Server count: 5
Time: 234, Queue size: 1, Server count: 5
Time: 235, Queue size: 0, Server count: 5
Time: 236, Queue size: 0, Server count: 5
Time: 237, Queue size: 1, Server count: 5
Time: 238, Queue size: 1, Server count: 5
Time: 239, Queue size: 0, Server count: 5
Time: 240, Queue size: 0, Server count: 5
Time: 241, Queue size: 0, Server count: 5
Time: 242, Queue size: 0, Server count: 5
Time: 243, Queue size: 1, Server count: 5
Time: 244, Queue size: 0, Server count: 5
Time: 245, Queue size: 0, Server count: 5
Time: 246, Queue size: 0, Server count: 5
Time: 247, Queue size: 0, Server count: 5
Time: 248, Queue size: 0, Server count: 5
Time: 249, Queue size: 0, Server count: 5
Time: 250, Queue size: 0, Server count: 5
Time: 251, Queue size: 0, Server count: 5
Time: 252, Queue size: 0, Server count: 5
Time: 253, Queue size: 0, Server count: 5
Time: 254, Queue size: 0, Server count: 5
Time: 255, Queue size: 0, Server count: 4
Time: 256, Queue size: 0, Server count: 4
Time: 257, Queue size: 0, Server count: 4
Time: 258, Queue size: 1, Server count: 4
Time: 259, Queue size: 1, Server count: 4
Time: 260, Queue size: 0, Server count: 4
Time: 261, Queue size: 0, Server count: 4
Time: 262, Queue size: 0, Server count: 4
Time: 263, Queue size: 0, Server count: 4
Time: 264, Queue size: 0, Server count: 4
Time: 265, Queue size: 0, Server count: 4
Time: 266, Queue size: 0, Server count: 4
Time: 267, Queue size: 0, Server count: 4
Time: 268, Queue size: 0, Server count: 4
Time: 269, Queue size: 0, Server count: 4
Time: 270, Queue size: 0, Server count: 4
Time: 271, Queue size: 0, Server count: 4
Time: 272, Queue size: 0, Server count: 4
Time: 273, Queue size: 1, Server count: 4
Time: 274, Queue size: 0, Server count: 4
Time: 275, Queue size: 0, Server count: 4
Time: 276, Queue size: 0, Server count: 4
Time: 277, Queue size: 0, Server count: 4
Time: 278, Queue size: 0, Server count: 4
Time: 279, Queue size: 0, Server count: 4
Time: 280, Queue size: 0, Server count: 4
Time: 281, Queue size: 0, Server count: 4
Time: 282, Queue size: 0, Server count: 4
Time: 283, Queue size: 0, Server count: 4
Time: 284, Queue size: 0, Server count: 4
Time: 285, Queue size: 0, Server count: 4
Time: 286, Queue size: 0, Server count: 4
Time: 287, Queue size: 0, Server count: 4
Time: 288, Queue size: 0, Server count: 4
Time: 289, Queue size: 0, Server count: 4
Time: 290, Queue size: 1, Server count: 4
Time: 291, Queue size: 0, Server count: 4
Time: 292, Queue size: 0, Server count: 4
Time: 293, Queue size: 0, Server count: 4
Time: 294, Queue size: 0, Server count: 4
Time: 295, Queue size: 0, Server count: 4
Time: 296, Queue size: 1, Server count: 4
Time: 297, Queue size: 1, Server count: 4
Time: 298, Queue size: 0, Server count: 4
Time: 299, Queue size: 0, Server count: 4
Time: 300, Queue size: 0, Server count: 4
Time: 301, Queue size: 0, Server count: 4
Time: 302, Queue size: 0, Server count: 4
Time: 303, Queue size: 0, Server count: 4
Time: 304, Queue size: 1, Server count: 4
Time: 305, Queue size: 0, Server count: 3
Time: 306, Queue size: 1, Server count: 3
Time: 307, Queue size: 1, Server count: 3
Time: 308, Queue size: 1, Server count: 3
Time: 309, Queue size: 0, Server count: 3
Time: 310, Queue size: 0, Server count: 3
Time: 311, Queue size: 0, Server count: 3
Time: 312, Queue size: 0, Server count: 3
Time: 313, Queue size: 0, Server count: 3
Time: 314, Queue size: 0, Server count: 3
Time: 315, Queue size: 1, Server count: 3
Time: 316, Queue size: 1, Server count: 3
Time: 317, Queue size: 0, Server count: 3
Time: 318, Queue size: 1, Server count: 3
Time: 319, Queue size: 1, Server count: 3
Time: 320, Queue size: 0, Server count: 3
Time: 321, Queue size: 0, Server count: 3
Time: 322, Queue size: 0, Server count: 3
Time: 323, Queue size: 0, Server count: 3
Time: 324, Queue size: 1, Server count: 3
Time: 325, Queue size: 0, Server count: 3
Time: 326, Queue size: 0, Server count: 3
Time: 327, Queue size: 0, Server count: 3
Time: 328, Queue size: 1, Server count: 3
Time: 329, Queue size: 0, Server count: 3
Time: 330, Queue size: 0, Server count: 3
Time: 331, Queue size: 0, Server count: 3
Time: 332, Queue size: 1, Server count: 3
Time: 333, Queue size: 0, Server count: 3
Time: 334, Queue size: 0, Server count: 3
Time: 335, Queue size: 0, Server count: 3
Time: 336, Queue size: 1, Server count: 3
Time: 337, Queue size: 0, Server count: 3
Time: 338, Queue size: 0, Server count: 3
Time: 339, Queue size: 0, Server count: 3
Time: 340, Queue size: 0, Server count: 3
Time: 341, Queue size: 0, Server count: 3
Time: 342, Queue size: 0, Server count: 3
Time: 343, Queue size: 1, Server count: 3
Time: 344, Queue size: 0, Server count: 3
Time: 345, Queue size: 0, Server count: 3
Time: 346, Queue size: 0, Server count: 3
Time: 347, Queue size: 0, Server count: 3
Time: 348, Queue size: 0, Server count: 3
Time: 349, Queue size: 0, Server count: 3
Time: 350, Queue size: 0, Server count: 3
Time: 351, Queue size: 0, Server count: 3
Time: 352, Queue size: 0, Server count: 3
Time: 353, Queue size: 0, Server count: 3
Time: 354, Queue size: 0, Server count: 3
Time: 355, Queue size: 0, Server count: 2
Time: 356, Queue size: 0, Server count: 2
Time: 357, Queue size: 0, Server count: 2
Time: 358, Queue size: 0, Server count: 2
Time: 359, Queue size: 0, Server count: 2
Time: 360, Queue size: 1, Server count: 2
Time: 361, Queue size: 0, Server count: 2
Time: 362, Queue size: 0, Server count: 2
Time: 363, Queue size: 0, Server count: 2
Time: 364, Queue size: 0, Server count: 2
Time: 365, Queue size: 0, Server count: 2
Time: 366, Queue size: 1, Server count: 2
Time: 367, Queue size: 0, Server count: 2
Time: 368, Queue size: 0, Server count: 2
Time: 369, Queue size: 0, Server count: 2
Time: 370, Queue size: 0, Server count: 2
Time: 371, Queue size: 0, Server count: 2
Time: 372, Queue size: 0, Server count: 2
Time: 373, Queue size: 1, Server count: 2
Time: 374, Queue size: 0, Server count: 2
Time: 375, Queue size: 0, Server count: 2
Time: 376, Queue size: 1, Server count: 2
Time: 377, Queue size: 0, Server count: 2
Time: 378, Queue size: 0, Server count: 2
Time: 379, Queue size: 0, Server count: 2
Time: 380, Queue size: 0, Server count: 2
Time: 381, Queue size: 1, Server count: 2
Time: 382, Queue size: 0, Server count: 2
Time: 383, Queue size: 0, Server count: 2
Time: 384, Queue size: 0, Server count: 2
Time: 385, Queue size: 0, Server count: 2
Time: 386, Queue size: 0, Server count: 2
Time: 387, Queue size: 0, Server count: 2
Time: 388, Queue size: 0, Server count: 2
Time: 389, Queue size: 1, Server count: 2
Time: 390, Queue size: 0, Server count: 2
Time: 391, Queue size: 0, Server count: 2
Time: 392, Queue size: 0, Server count: 2
Time: 393, Queue size: 0, Server count: 2
Time: 394, Queue size: 0, Server count: 2
Time: 395, Queue size: 0, Server count: 2
Time: 396, Queue size: 0, Server count: 2
Time: 397, Queue size: 0, Server count: 2
Time: 398, Queue size: 0, Server count: 2
Time: 399, Queue size: 1, Server count: 2
Time: 400, Queue size: 0, Server count: 2
Time: 401, Queue size: 0, Server count: 2
Time: 402, Queue size: 1, Server count: 2
Time: 403, Queue size: 0, Server count: 2
Time: 404, Queue size: 0, Server count: 2
Time: 405, Queue size: 0, Server count: 1
Time: 406, Queue size: 1, Server count: 1
Time: 407, Queue size: 1, Server count: 1
Time: 408, Queue size: 0, Server count: 1
Time: 409, Queue size: 0, Server count: 1
Time: 410, Queue size: 0, Server count: 1
Time: 411, Queue size: 0, Server count: 1
Time: 412, Queue size: 0, Server count: 1
Time: 413, Queue size: 0, Server count: 1
Time: 414, Queue size: 1, Server count: 1
Time: 415, Queue size: 0, Server count: 1
Time: 416, Queue size: 0, Server count: 1
Time: 417, Queue size: 0, Server count: 1
Time: 418, Queue size: 0, Server count: 1
Time: 419, Queue size: 0, Server count: 1
Time: 420, Queue size: 0, Server count: 1
Time: 421, Queue size: 0, Server count: 1
Time: 422, Queue size: 0, Server count: 1
Time: 423, Queue size: 0, Server count: 1
Time: 424, Queue size: 0, Server count: 1
Time: 425, Queue size: 0, Server count: 1
Time: 426, Queue size: 0, Server count: 1
Time: 427, Queue size: 0, Server count: 1
Time: 428, Queue size: 1, Server count: 1
Time: 429, Queue size: 0, Server count: 1
Time: 430, Queue size: 0, Server count: 1
Time: 431, Queue size: 1, Server count: 1
Time: 432, Queue size: 0, Server count: 1
Time: 433, Queue size: 0, Server count: 1
Time: 434, Queue size: 0, Server count: 1
Time: 435, Queue size: 0, Server count: 1
Time: 436, Queue size: 1, Server count: 1
Time: 437, Queue size: 0, Server count: 1
Time: 438, Queue size: 1, Server count: 1
Time: 439, Queue size: 0, Server count: 1
Time: 440, Queue size: 0, Server count: 1
Time: 441, Queue size: 0, Server count: 1
Time: 442, Queue size: 0, Server count: 1
Time: 443, Queue size: 0, Server count: 1
Time: 444, Queue size: 0, Server count: 1
