Time: 1, Queue size: 0, Server count: 5
Time: 2, Queue size: 0, Server count: 5
Time: 3, Queue size: 0, Server count: 5
Time: 4, Queue size: 0, Server count: 5
Time: 5, Queue size: 0, Server count: 4
Time: 6, Queue size: 0, Server count: 4
Time: 7, Queue size: 1, Server count: 4
Time: 8, Queue size: 0, Server count: 4
Time: 9, Queue size: 0, Server count: 4
Time: 10, Queue size: 0, Server count: 4
Time: 11, Queue size: 0, Server count: 4
Time: 12, Queue size: 1, Server count: 4
Time: 13, Queue size: 0, Server count: 4
Time: 14, Queue size: 0, Server count: 4
Time: 15, Queue size: 1, Server count: 4
Time: 16, Queue size: 0, Server count: 4
Time: 17, Queue size: 0, Server count: 4
Time: 18, Queue size: 0, Server count: 4
Time: 19, Queue size: 0, Server count: 4
Time: 20, Queue size: 0, Server count: 4
Time: 21, Queue size: 0, Server count: 4
Time: 22, Queue size: 0, Server count: 4
Time: 23, Queue size: 0, Server count: 4
Time: 24, Queue size: 0, Server count: 4
Time: 25, Queue size: 0, Server count: 4
Time: 26, Queue size: 0, Server count: 4
Time: 27, Queue size: 0, Server count: 4
Time: 28, Queue size: 0, Server count: 4
Time: 29, Queue size: 0, Server count: 4
Time: 30, Queue size: 0, Server count: 4
Time: 31, Queue size: 0, Server count: 4
Time: 32, Queue size: 0, Server count: 4
Time: 33, Queue size: 0, Server count: 4
Time: 34, Queue size: 1, Server count: 4
Time: 35, Queue size: 0, Server count: 4
Time: 36, Queue size: 1, Server count: 4
Time: 37, Queue size: 0, Server count: 4
Time: 38, Queue size: 0, Server count: 4
Time: 39, Queue size: 0, Server count: 4
Time: 40, Queue size: 1, Server count: 4
Time: 41, Queue size: 0, Server count: 4
Time: 42, Queue size: 0, Server count: 4
Time: 43, Queue size: 0, Server count: 4
Time: 44, Queue size: 0, Server count: 4
Time: 45, Queue size: 0, Server count: 4
Time: 46, Queue size: 0, Server count: 4
Time: 47, Queue size: 0, Server count: 4
Time: 48, Queue size: 0, Server count: 4
Time: 49, Queue size: 0, Server count: 4
Time: 50, Queue size: 0, Server count: 4
